kingdom,scientificName,class,order,family,genus,species,phylum,domain
,Sus scrofa (pig),Eukaryotes (361),Animals (132),Vertebrates (81),Mammals (47),ssc,,
,Camelus ferus (Wild Bactrian camel),Eukaryotes (361),Animals (132),Vertebrates (81),Mammals (47),cfr,,
,Camelus dromedarius (Arabian camel),Eukaryotes (361),Animals (132),Vertebrates (81),Mammals (47),cdk,,
,Balaenoptera acutorostrata scammoni (minke whale),Eukaryotes (361),Animals (132),Vertebrates (81),Mammals (47),bacu,,
,Lipotes vexillifer (Yangtze River dolphin),Eukaryotes (361),Animals (132),Vertebrates (81),Mammals (47),lve,,
,Equus caballus (horse),Eukaryotes (361),Animals (132),Vertebrates (81),Mammals (47),ecb,,
,Equus przewalskii (Przewalski's horse),Eukaryotes (361),Animals (132),Vertebrates (81),Mammals (47),epz,,
,Equus asinus (ass),Eukaryotes (361),Animals (132),Vertebrates (81),Mammals (47),eai,,
,Myotis brandtii (Brandt's bat),Eukaryotes (361),Animals (132),Vertebrates (81),Mammals (47),myb,,
,Myotis davidii,Eukaryotes (361),Animals (132),Vertebrates (81),Mammals (47),myd,,
,Hipposideros armiger (great roundleaf bat),Eukaryotes (361),Animals (132),Vertebrates (81),Mammals (47),hai,,
,Pteropus alecto (black flying fox),Eukaryotes (361),Animals (132),Vertebrates (81),Mammals (47),pale,,
,Loxodonta africana (African savanna elephant),Eukaryotes (361),Animals (132),Vertebrates (81),Mammals (47),lav,,
,Monodelphis domestica (opossum),Eukaryotes (361),Animals (132),Vertebrates (81),Mammals (47),mdo,,
,Sarcophilus harrisii (Tasmanian devil),Eukaryotes (361),Animals (132),Vertebrates (81),Mammals (47),shr,,
,Ornithorhynchus anatinus (platypus),Eukaryotes (361),Animals (132),Vertebrates (81),Mammals (47),oaa,,
,Gallus gallus (chicken),Eukaryotes (361),Animals (132),Vertebrates (81),Birds (13),gga,,
,Meleagris gallopavo (turkey),Eukaryotes (361),Animals (132),Vertebrates (81),Birds (13),mgp,,
,Coturnix japonica (Japanese quail),Eukaryotes (361),Animals (132),Vertebrates (81),Birds (13),cjo,,
,Anas platyrhynchos (mallard),Eukaryotes (361),Animals (132),Vertebrates (81),Birds (13),apla,,
,Taeniopygia guttata (zebra finch),Eukaryotes (361),Animals (132),Vertebrates (81),Birds (13),tgu,,
,Geospiza fortis (medium ground-finch),Eukaryotes (361),Animals (132),Vertebrates (81),Birds (13),gfr,,
,Ficedula albicollis (collared flycatcher),Eukaryotes (361),Animals (132),Vertebrates (81),Birds (13),fab,,
,Pseudopodoces humilis (Tibetan ground-tit),Eukaryotes (361),Animals (132),Vertebrates (81),Birds (13),phi,,
,Corvus cornix (hooded crow),Eukaryotes (361),Animals (132),Vertebrates (81),Birds (13),ccw,,
,Falco peregrinus (peregrine falcon),Eukaryotes (361),Animals (132),Vertebrates (81),Birds (13),fpg,,
,Falco cherrug (Saker falcon),Eukaryotes (361),Animals (132),Vertebrates (81),Birds (13),fch,,
,Columba livia (rock pigeon),Eukaryotes (361),Animals (132),Vertebrates (81),Birds (13),clv,,
,Apteryx australis mantelli (brown kiwi),Eukaryotes (361),Animals (132),Vertebrates (81),Birds (13),aam,,
,Alligator sinensis (Chinese alligator),Eukaryotes (361),Animals (132),Vertebrates (81),Reptiles (8),asn,,
,Alligator mississippiensis (American alligator),Eukaryotes (361),Animals (132),Vertebrates (81),Reptiles (8),amj,,
,Pelodiscus sinensis (Chinese soft-shelled turtle),Eukaryotes (361),Animals (132),Vertebrates (81),Reptiles (8),pss,,
,Chelonia mydas (green sea turtle),Eukaryotes (361),Animals (132),Vertebrates (81),Reptiles (8),cmy,,
,Chrysemys picta (western painted turtle),Eukaryotes (361),Animals (132),Vertebrates (81),Reptiles (8),cpic,,
,Anolis carolinensis (green anole),Eukaryotes (361),Animals (132),Vertebrates (81),Reptiles (8),acs,,
,Python bivittatus (Burmese python),Eukaryotes (361),Animals (132),Vertebrates (81),Reptiles (8),pbi,,
,Gekko japonicus,Eukaryotes (361),Animals (132),Vertebrates (81),Reptiles (8),gja,,
,Xenopus laevis (African clawed frog),Eukaryotes (361),Animals (132),Vertebrates (81),Amphibians (2),xla,,
,Xenopus tropicalis (western clawed frog),Eukaryotes (361),Animals (132),Vertebrates (81),Amphibians (2),xtr,,
,Danio rerio (zebrafish),Eukaryotes (361),Animals (132),Vertebrates (81),Fishes (10),dre,,
,Ictalurus punctatus (channel catfish),Eukaryotes (361),Animals (132),Vertebrates (81),Fishes (10),ipu,,
,Takifugu rubripes (torafugu),Eukaryotes (361),Animals (132),Vertebrates (81),Fishes (10),tru,,
,Tetraodon nigroviridis (spotted green pufferfish),Eukaryotes (361),Animals (132),Vertebrates (81),Fishes (10),tng,,
,Larimichthys crocea (large yellow croaker),Eukaryotes (361),Animals (132),Vertebrates (81),Fishes (10),lco,,
,Maylandia zebra (zebra mbuna),Eukaryotes (361),Animals (132),Vertebrates (81),Fishes (10),mze,,
,Oryzias latipes (Japanese medaka),Eukaryotes (361),Animals (132),Vertebrates (81),Fishes (10),ola,,
,Xiphophorus maculatus (southern platyfish),Eukaryotes (361),Animals (132),Vertebrates (81),Fishes (10),xma,,
,Salmo salar (Atlantic salmon),Eukaryotes (361),Animals (132),Vertebrates (81),Fishes (10),sasa,,
,Latimeria chalumnae (coelacanth),Eukaryotes (361),Animals (132),Vertebrates (81),Fishes (10),lcm,,
,Callorhinchus milii (elephant shark),Eukaryotes (361),Animals (132),Vertebrates (81),Cartilaginous fishes (1),cmk,,
,Drosophila melanogaster (fruit fly),Eukaryotes (361),Animals (132),Arthropods (32),Insects (30),dme,,
,Drosophila pseudoobscura pseudoobscura,Eukaryotes (361),Animals (132),Arthropods (32),Insects (30),dpo,,
,Drosophila ananassae,Eukaryotes (361),Animals (132),Arthropods (32),Insects (30),dan,,
,Drosophila erecta,Eukaryotes (361),Animals (132),Arthropods (32),Insects (30),der,,
,Drosophila persimilis,Eukaryotes (361),Animals (132),Arthropods (32),Insects (30),dpe,,
,Drosophila sechellia,Eukaryotes (361),Animals (132),Arthropods (32),Insects (30),dse,,
,Drosophila simulans,Eukaryotes (361),Animals (132),Arthropods (32),Insects (30),dsi,,
,Drosophila willistoni,Eukaryotes (361),Animals (132),Arthropods (32),Insects (30),dwi,,
,Drosophila yakuba,Eukaryotes (361),Animals (132),Arthropods (32),Insects (30),dya,,
,Drosophila grimshawi,Eukaryotes (361),Animals (132),Arthropods (32),Insects (30),dgr,,
,Drosophila mojavensis,Eukaryotes (361),Animals (132),Arthropods (32),Insects (30),dmo,,
,Drosophila virilis,Eukaryotes (361),Animals (132),Arthropods (32),Insects (30),dvi,,
,Musca domestica (house fly),Eukaryotes (361),Animals (132),Arthropods (32),Insects (30),mde,,
,Anopheles gambiae (mosquito),Eukaryotes (361),Animals (132),Arthropods (32),Insects (30),aga,,
,Aedes aegypti (yellow fever mosquito),Eukaryotes (361),Animals (132),Arthropods (32),Insects (30),aag,,
,Culex quinquefasciatus (southern house mosquito),Eukaryotes (361),Animals (132),Arthropods (32),Insects (30),cqu,,
,Apis mellifera (honey bee),Eukaryotes (361),Animals (132),Arthropods (32),Insects (30),ame,,
,Bombus impatiens (common eastern bumble bee),Eukaryotes (361),Animals (132),Arthropods (32),Insects (30),bim,,
,Bombus terrestris (buff-tailed bumblebee),Eukaryotes (361),Animals (132),Arthropods (32),Insects (30),bter,,
,Solenopsis invicta (red fire ant),Eukaryotes (361),Animals (132),Arthropods (32),Insects (30),soc,,
,Acromyrmex echinatior (Panamanian leafcutter ant),Eukaryotes (361),Animals (132),Arthropods (32),Insects (30),aec,,
,Harpegnathos saltator (Jerdon's jumping ant),Eukaryotes (361),Animals (132),Arthropods (32),Insects (30),hst,,
,Camponotus floridanus (Florida carpenter ant),Eukaryotes (361),Animals (132),Arthropods (32),Insects (30),cfo,,
,Nasonia vitripennis (jewel wasp),Eukaryotes (361),Animals (132),Arthropods (32),Insects (30),nvi,,
,Tribolium castaneum (red flour beetle),Eukaryotes (361),Animals (132),Arthropods (32),Insects (30),tca,,
,Bombyx mori (domestic silkworm),Eukaryotes (361),Animals (132),Arthropods (32),Insects (30),bmor,,
,Danaus plexippus (monarch butterfly),Eukaryotes (361),Animals (132),Arthropods (32),Insects (30),dpl,,
,Plutella xylostella (diamondback moth),Eukaryotes (361),Animals (132),Arthropods (32),Insects (30),pxy,,
,Acyrthosiphon pisum (pea aphid),Eukaryotes (361),Animals (132),Arthropods (32),Insects (30),api,,
,Pediculus humanus corporis (human body louse),Eukaryotes (361),Animals (132),Arthropods (32),Insects (30),phu,,
,Daphnia pulex (common water flea),Eukaryotes (361),Animals (132),Arthropods (32),Crustaceans (1),dpx,,
,Ixodes scapularis (black-legged tick),Eukaryotes (361),Animals (132),Arthropods (32),Mites and ticks (1),isc,,
,Arabidopsis thaliana (thale cress),Eukaryotes (361),Plants (70),Eudicots (43),Mustard family (7),ath,,
,Arabidopsis lyrata (lyrate rockcress),Eukaryotes (361),Plants (70),Eudicots (43),Mustard family (7),aly,,
,Capsella rubella,Eukaryotes (361),Plants (70),Eudicots (43),Mustard family (7),crb,,
,Eutrema salsugineum,Eukaryotes (361),Plants (70),Eudicots (43),Mustard family (7),eus,,
,Brassica rapa (field mustard),Eukaryotes (361),Plants (70),Eudicots (43),Mustard family (7),brp,,
,Brassica napus (rape),Eukaryotes (361),Plants (70),Eudicots (43),Mustard family (7),bna,,
,Brassica oleracea (wild cabbage),Eukaryotes (361),Plants (70),Eudicots (43),Mustard family (7),boe,,
,Tarenaya hassleriana (spider flower),Eukaryotes (361),Plants (70),Eudicots (43),Caper family (1),thj,,
,Citrus sinensis (Valencia orange),Eukaryotes (361),Plants (70),Eudicots (43),Rue family (2),cit,,
,Citrus clementina (mandarin orange),Eukaryotes (361),Plants (70),Eudicots (43),Rue family (2),cic,,
,Theobroma cacao (cacao),Eukaryotes (361),Plants (70),Eudicots (43),Mallow family (2),tcc,,
,Gossypium raimondii,Eukaryotes (361),Plants (70),Eudicots (43),Mallow family (2),gra,,
,Eucalyptus grandis (rose gum),Eukaryotes (361),Plants (70),Eudicots (43),Myrtle family (1),egr,,
,Glycine max (soybean),Eukaryotes (361),Plants (70),Eudicots (43),Pea family (10),gmx,,
,Phaseolus vulgaris (common bean),Eukaryotes (361),Plants (70),Eudicots (43),Pea family (10),pvu,,
,Vigna radiata (mung bean),Eukaryotes (361),Plants (70),Eudicots (43),Pea family (10),vra,,
,Vigna angularis (adzuki bean),Eukaryotes (361),Plants (70),Eudicots (43),Pea family (10),var,,
,Medicago truncatula (barrel medic),Eukaryotes (361),Plants (70),Eudicots (43),Pea family (10),mtr,,
,Cicer arietinum (chickpea),Eukaryotes (361),Plants (70),Eudicots (43),Pea family (10),cam,,
,Arachis duranensis,Eukaryotes (361),Plants (70),Eudicots (43),Pea family (10),adu,,
,Arachis ipaensis,Eukaryotes (361),Plants (70),Eudicots (43),Pea family (10),aip,,
,Lotus japonicus,Eukaryotes (361),Plants (70),Eudicots (43),Pea family (10),lja,,
,Lupinus angustifolius (narrow-leaved blue lupine),Eukaryotes (361),Plants (70),Eudicots (43),Pea family (10),lang,,
,Fragaria vesca (woodland strawberry),Eukaryotes (361),Plants (70),Eudicots (43),Rose family (5),fve,,
,Prunus persica (peach),Eukaryotes (361),Plants (70),Eudicots (43),Rose family (5),pper,,
,Prunus mume (Japanese apricot),Eukaryotes (361),Plants (70),Eudicots (43),Rose family (5),pmum,,
,Malus domestica (apple),Eukaryotes (361),Plants (70),Eudicots (43),Rose family (5),mdm,,
,Pyrus x bretschneideri (Chinese white pear),Eukaryotes (361),Plants (70),Eudicots (43),Rose family (5),pxb,,
,Cucumis sativus (cucumber),Eukaryotes (361),Plants (70),Eudicots (43),Cucumber family (2),csv,,
,Cucumis melo (muskmelon),Eukaryotes (361),Plants (70),Eudicots (43),Cucumber family (2),cmo,,
,Ricinus communis (castor bean),Eukaryotes (361),Plants (70),Eudicots (43),Spurge family (2),rcu,,
,Jatropha curcas,Eukaryotes (361),Plants (70),Eudicots (43),Spurge family (2),jcu,,
,Populus trichocarpa (black cottonwood),Eukaryotes (361),Plants (70),Eudicots (43),Willow family (1),pop,,
,Vitis vinifera (wine grape),Eukaryotes (361),Plants (70),Eudicots (43),Grape family (1),vvi,,
,Solanum lycopersicum (tomato),Eukaryotes (361),Plants (70),Eudicots (43),Nightshade family (5),sly,,
,Solanum pennellii,Eukaryotes (361),Plants (70),Eudicots (43),Nightshade family (5),spen,,
,Solanum tuberosum (potato),Eukaryotes (361),Plants (70),Eudicots (43),Nightshade family (5),sot,,
,Capsicum annuum,Eukaryotes (361),Plants (70),Eudicots (43),Nightshade family (5),cann,,
,Nicotiana tabacum (common tobacco),Eukaryotes (361),Plants (70),Eudicots (43),Nightshade family (5),nta,,
,Ipomoea nil (Japanese morning glory),Eukaryotes (361),Plants (70),Eudicots (43),Morning-glory family (1),ini,,
,Sesamum indicum (sesame),Eukaryotes (361),Plants (70),Eudicots (43),Sesame family (1),sind,,
,Beta vulgaris (sugar beet),Eukaryotes (361),Plants (70),Eudicots (43),Amaranth family (1),bvg,,
,Nelumbo nucifera (sacred lotus),Eukaryotes (361),Plants (70),Eudicots (43),Lotus family (1),nnu,,
,Oryza sativa japonica (Japanese rice) (RefSeq),Eukaryotes (361),Plants (70),Monocots (11),Grass family (8),osa,,
,Oryza sativa japonica (Japanese rice) (RAPDB),Eukaryotes (361),Plants (70),Monocots (11),Grass family (8),dosa,,
,Oryza brachyantha (malo sina),Eukaryotes (361),Plants (70),Monocots (11),Grass family (8),obr,,
,Brachypodium distachyon,Eukaryotes (361),Plants (70),Monocots (11),Grass family (8),bdi,,
,Aegilops tauschii (wheat D),Eukaryotes (361),Plants (70),Monocots (11),Grass family (8),ats,,
,Sorghum bicolor (sorghum),Eukaryotes (361),Plants (70),Monocots (11),Grass family (8),sbi,,
,Zea mays (maize),Eukaryotes (361),Plants (70),Monocots (11),Grass family (8),zma,,
,Setaria italica (foxtail millet),Eukaryotes (361),Plants (70),Monocots (11),Grass family (8),sita,,
,Phoenix dactylifera (date palm),Eukaryotes (361),Plants (70),Monocots (11),Palm family (2),pda,,
,Elaeis guineensis (African oil palm),Eukaryotes (361),Plants (70),Monocots (11),Palm family (2),egu,,
,Musa acuminata (wild Malaysian banana),Eukaryotes (361),Plants (70),Monocots (11),Banana family (1),mus,,
,Amborella trichopoda,Eukaryotes (361),Plants (70),Basal Magnoliophyta (1),Amborella family (1),atr,,
,Saccharomyces cerevisiae (budding yeast),Eukaryotes (361),Fungi (110),Ascomycetes (76),Saccharomycetes (27),sce,,
,Ashbya gossypii (Eremothecium gossypii),Eukaryotes (361),Fungi (110),Ascomycetes (76),Saccharomycetes (27),ago,,
,Eremothecium cymbalariae,Eukaryotes (361),Fungi (110),Ascomycetes (76),Saccharomycetes (27),erc,,
,Kluyveromyces lactis,Eukaryotes (361),Fungi (110),Ascomycetes (76),Saccharomycetes (27),kla,,
,Lachancea thermotolerans,Eukaryotes (361),Fungi (110),Ascomycetes (76),Saccharomycetes (27),lth,,
,Vanderwaltozyma polyspora,Eukaryotes (361),Fungi (110),Ascomycetes (76),Saccharomycetes (27),vpo,,
,Zygosaccharomyces rouxii,Eukaryotes (361),Fungi (110),Ascomycetes (76),Saccharomycetes (27),zro,,
,Candida glabrata,Eukaryotes (361),Fungi (110),Ascomycetes (76),Saccharomycetes (27),cgr,,
,Naumovozyma castellii,Eukaryotes (361),Fungi (110),Ascomycetes (76),Saccharomycetes (27),ncs,,
,Naumovozyma dairenensis,Eukaryotes (361),Fungi (110),Ascomycetes (76),Saccharomycetes (27),ndi,,
,Tetrapisispora phaffii,Eukaryotes (361),Fungi (110),Ascomycetes (76),Saccharomycetes (27),tpf,,
,Tetrapisispora blattae,Eukaryotes (361),Fungi (110),Ascomycetes (76),Saccharomycetes (27),tbl,,
,Torulaspora delbrueckii,Eukaryotes (361),Fungi (110),Ascomycetes (76),Saccharomycetes (27),tdl,,
,Kazachstania africana,Eukaryotes (361),Fungi (110),Ascomycetes (76),Saccharomycetes (27),kaf,,
,Komagataella phaffii,Eukaryotes (361),Fungi (110),Ascomycetes (76),Saccharomycetes (27),ppa,,
,Debaryomyces hansenii,Eukaryotes (361),Fungi (110),Ascomycetes (76),Saccharomycetes (27),dha,,
,Scheffersomyces stipitis,Eukaryotes (361),Fungi (110),Ascomycetes (76),Saccharomycetes (27),pic,,
,Meyerozyma guilliermondii,Eukaryotes (361),Fungi (110),Ascomycetes (76),Saccharomycetes (27),pgu,,
,Spathaspora passalidarum,Eukaryotes (361),Fungi (110),Ascomycetes (76),Saccharomycetes (27),spaa,,
,Lodderomyces elongisporus,Eukaryotes (361),Fungi (110),Ascomycetes (76),Saccharomycetes (27),lel,,
,Candida albicans,Eukaryotes (361),Fungi (110),Ascomycetes (76),Saccharomycetes (27),cal,,
,Candida tropicalis,Eukaryotes (361),Fungi (110),Ascomycetes (76),Saccharomycetes (27),ctp,,
,Candida orthopsilosis,Eukaryotes (361),Fungi (110),Ascomycetes (76),Saccharomycetes (27),cot,,
,Candida dubliniensis,Eukaryotes (361),Fungi (110),Ascomycetes (76),Saccharomycetes (27),cdu,,
,Candida tenuis,Eukaryotes (361),Fungi (110),Ascomycetes (76),Saccharomycetes (27),cten,,
,Yarrowia lipolytica,Eukaryotes (361),Fungi (110),Ascomycetes (76),Saccharomycetes (27),yli,,
,Clavispora lusitaniae,Eukaryotes (361),Fungi (110),Ascomycetes (76),Saccharomycetes (27),clu,,
,Neurospora crassa,Eukaryotes (361),Fungi (110),Ascomycetes (76),Sordariomycetes (19),ncr,,
,Neurospora tetrasperma,Eukaryotes (361),Fungi (110),Ascomycetes (76),Sordariomycetes (19),nte,,
,Sordaria macrospora,Eukaryotes (361),Fungi (110),Ascomycetes (76),Sordariomycetes (19),smp,,
,Podospora anserina,Eukaryotes (361),Fungi (110),Ascomycetes (76),Sordariomycetes (19),pan,,
,Thielavia terrestris,Eukaryotes (361),Fungi (110),Ascomycetes (76),Sordariomycetes (19),ttt,,
,Thermothelomyces thermophila,Eukaryotes (361),Fungi (110),Ascomycetes (76),Sordariomycetes (19),mtm,,
,Chaetomium thermophilum,Eukaryotes (361),Fungi (110),Ascomycetes (76),Sordariomycetes (19),cthr,,
,Magnaporthe oryzae,Eukaryotes (361),Fungi (110),Ascomycetes (76),Sordariomycetes (19),mgr,,
,Phaeoacremonium minimum,Eukaryotes (361),Fungi (110),Ascomycetes (76),Sordariomycetes (19),tmn,,
,Fusarium graminearum,Eukaryotes (361),Fungi (110),Ascomycetes (76),Sordariomycetes (19),fgr,,
,Fusarium pseudograminearum,Eukaryotes (361),Fungi (110),Ascomycetes (76),Sordariomycetes (19),fpu,,
,Nectria haematococca,Eukaryotes (361),Fungi (110),Ascomycetes (76),Sordariomycetes (19),nhe,,
,Trichoderma reesei,Eukaryotes (361),Fungi (110),Ascomycetes (76),Sordariomycetes (19),tre,,
,Metarhizium acridum,Eukaryotes (361),Fungi (110),Ascomycetes (76),Sordariomycetes (19),maw,,
,Metarhizium robertsii,Eukaryotes (361),Fungi (110),Ascomycetes (76),Sordariomycetes (19),maj,,
,Cordyceps militaris,Eukaryotes (361),Fungi (110),Ascomycetes (76),Sordariomycetes (19),cmt,,
,Verticillium alfalfae,Eukaryotes (361),Fungi (110),Ascomycetes (76),Sordariomycetes (19),val,,
,Verticillium dahliae,Eukaryotes (361),Fungi (110),Ascomycetes (76),Sordariomycetes (19),vda,,
,Eutypa lata,Eukaryotes (361),Fungi (110),Ascomycetes (76),Sordariomycetes (19),ela,,
,Sclerotinia sclerotiorum,Eukaryotes (361),Fungi (110),Ascomycetes (76),Leotiomycetes (3),ssl,,
,Botrytis cinerea,Eukaryotes (361),Fungi (110),Ascomycetes (76),Leotiomycetes (3),bfu,,
,Marssonina brunnea,Eukaryotes (361),Fungi (110),Ascomycetes (76),Leotiomycetes (3),mbe,,
,Aspergillus nidulans,Eukaryotes (361),Fungi (110),Ascomycetes (76),Eurotiomycetes (16),ani,,
,Aspergillus fumigatus,Eukaryotes (361),Fungi (110),Ascomycetes (76),Eurotiomycetes (16),afm,,
,Aspergillus oryzae,Eukaryotes (361),Fungi (110),Ascomycetes (76),Eurotiomycetes (16),aor,,
,Aspergillus niger,Eukaryotes (361),Fungi (110),Ascomycetes (76),Eurotiomycetes (16),ang,,
,Aspergillus flavus,Eukaryotes (361),Fungi (110),Ascomycetes (76),Eurotiomycetes (16),afv,,
,Aspergillus clavatus,Eukaryotes (361),Fungi (110),Ascomycetes (76),Eurotiomycetes (16),act,,
,Aspergillus fischeri,Eukaryotes (361),Fungi (110),Ascomycetes (76),Eurotiomycetes (16),nfi,,
,Penicillium rubens,Eukaryotes (361),Fungi (110),Ascomycetes (76),Eurotiomycetes (16),pcs,,
,Coccidioides immitis,Eukaryotes (361),Fungi (110),Ascomycetes (76),Eurotiomycetes (16),cim,,
,Coccidioides posadasii,Eukaryotes (361),Fungi (110),Ascomycetes (76),Eurotiomycetes (16),cpw,,
,Paracoccidioides lutzii Pb01,Eukaryotes (361),Fungi (110),Ascomycetes (76),Eurotiomycetes (16),pbl,,
,Paracoccidioides brasiliensis Pb18,Eukaryotes (361),Fungi (110),Ascomycetes (76),Eurotiomycetes (16),pbn,,
,Uncinocarpus reesii,Eukaryotes (361),Fungi (110),Ascomycetes (76),Eurotiomycetes (16),ure,,
,Trichophyton benhamiae,Eukaryotes (361),Fungi (110),Ascomycetes (76),Eurotiomycetes (16),abe,,
,Trichophyton verrucosum,Eukaryotes (361),Fungi (110),Ascomycetes (76),Eurotiomycetes (16),tve,,
,Histoplasma capsulatum,Eukaryotes (361),Fungi (110),Ascomycetes (76),Eurotiomycetes (16),aje,,
,Parastagonospora nodorum,Eukaryotes (361),Fungi (110),Ascomycetes (76),Dothideomycetes (9),pno,,
,Pyrenophora teres,Eukaryotes (361),Fungi (110),Ascomycetes (76),Dothideomycetes (9),pte,,
,Bipolaris zeicola,Eukaryotes (361),Fungi (110),Ascomycetes (76),Dothideomycetes (9),bze,,
,Bipolaris sorokiniana,Eukaryotes (361),Fungi (110),Ascomycetes (76),Dothideomycetes (9),bsc,,
,Bipolaris oryzae,Eukaryotes (361),Fungi (110),Ascomycetes (76),Dothideomycetes (9),bor,,
,Zymoseptoria tritici,Eukaryotes (361),Fungi (110),Ascomycetes (76),Dothideomycetes (9),ztr,,
,Pseudocercospora fijiensis,Eukaryotes (361),Fungi (110),Ascomycetes (76),Dothideomycetes (9),pfj,,
,Baudoinia panamericana,Eukaryotes (361),Fungi (110),Ascomycetes (76),Dothideomycetes (9),bcom,,
,Neofusicoccum parvum,Eukaryotes (361),Fungi (110),Ascomycetes (76),Dothideomycetes (9),npa,,
,Tuber melanosporum,Eukaryotes (361),Fungi (110),Ascomycetes (76),Pezizomycetes (1),tml,,
,Schizosaccharomyces pombe (fission yeast),Eukaryotes (361),Fungi (110),Ascomycetes (76),Schizosaccharomycetes (1),spo,,
,Dictyostelium discoideum (cellular slime mold),Eukaryotes (361),Protists (49),Amoebozoa (7),Dictyostelium (3),ddi,,
,Dictyostelium purpureum (cellular slime mold),Eukaryotes (361),Protists (49),Amoebozoa (7),Dictyostelium (3),dpp,,
,Dictyostelium fasciculatum (cellular slime mold),Eukaryotes (361),Protists (49),Amoebozoa (7),Dictyostelium (3),dfa,,
,Entamoeba histolytica,Eukaryotes (361),Protists (49),Amoebozoa (7),Entamoeba (3),ehi,,
,Entamoeba dispar,Eukaryotes (361),Protists (49),Amoebozoa (7),Entamoeba (3),edi,,
,Entamoeba invadens,Eukaryotes (361),Protists (49),Amoebozoa (7),Entamoeba (3),eiv,,
,Acanthamoeba castellanii,Eukaryotes (361),Protists (49),Amoebozoa (7),Acanthamoeba (1),acan,,
,Plasmodium falciparum 3D7,Eukaryotes (361),Protists (49),Alveolates (20),Apicomplexans (17),pfa,,
,Plasmodium falciparum Dd2,Eukaryotes (361),Protists (49),Alveolates (20),Apicomplexans (17),pfd,,
,Plasmodium falciparum HB3,Eukaryotes (361),Protists (49),Alveolates (20),Apicomplexans (17),pfh,,
,Plasmodium yoelii,Eukaryotes (361),Protists (49),Alveolates (20),Apicomplexans (17),pyo,,
