#assembly_accession,bioproject,biosample,wgs_master,refseq_category,taxid,species_taxid,organism_name,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name,asm_submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,excluded_from_refseq,relation_to_type_material,asm_not_live_date,assembly_type,group,genome_size,genome_size_ungapped,gc_percent,replicon_count,scaffold_count,contig_count,annotation_provider,annotation_name,annotation_date,total_gene_count,protein_coding_gene_count,non_coding_gene_count,pubmed_id
GCA_001499805.2,PRJNA264317,SAMN03332961,JYFF00000000.1,na,29491,645,Aeromonas salmonicida subsp. salmonicida,strain=RS534,na,latest,Scaffold,Major,Full,2015-12-15,ASM149980v2,Universite Laval,GCF_001499805.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/499/805/GCA_001499805.2_ASM149980v2,na,na,na,haploid,bacteria,4889514,4889514,58.000000,5,123,123,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2015-02-27,4607,4247,131,26753691
GCA_001597895.1,PRJNA264317,SAMN03332968,JYFG00000000.1,na,29491,645,Aeromonas salmonicida subsp. salmonicida,strain=JF3791,na,latest,Scaffold,Major,Full,2016-05-06,ASM159789v1,Universite Laval,GCF_001597895.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/597/895/GCA_001597895.1_ASM159789v1,na,na,na,haploid,bacteria,4730374,4730374,58.500000,5,111,111,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2015-02-27,4435,4092,132,na
GCA_001643275.2,PRJNA310296,SAMN04449844,na,na,29491,645,Aeromonas salmonicida subsp. salmonicida,strain=J223,na,latest,Complete Genome,Major,Full,2020-02-05,ASM164327v2,Universidad Mayor,GCF_001643275.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/643/275/GCA_001643275.2_ASM164327v2,na,na,na,haploid,bacteria,4897684,4897684,58.500000,5,5,5,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2020-01-29,4618,4199,148,na
GCA_001643285.1,PRJNA310296,SAMN04450001,LSGY00000000.1,na,29491,645,Aeromonas salmonicida subsp. salmonicida,strain=J231,na,latest,Contig,Major,Full,2016-05-13,ASM164328v1,Universidad Mayor,GCF_001643285.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/643/285/GCA_001643285.1_ASM164328v1,na,na,na,haploid,bacteria,4746942,4746942,58.500000,0,143,143,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2016-02-09,4406,4071,95,na
GCA_001643305.1,PRJNA310296,SAMN04449999,LSGW00000000.1,na,29491,645,Aeromonas salmonicida subsp. salmonicida,strain=ATCC 33658,na,latest,Contig,Major,Full,2016-05-13,ASM164330v1,Universidad Mayor,GCF_001643305.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/643/305/GCA_001643305.1_ASM164330v1,na,assembly from type material,na,haploid,bacteria,4728143,4728143,58.500000,0,119,119,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2016-02-09,4365,4065,92,na
GCA_001643355.2,PRJNA310296,SAMN04450000,na,na,29491,645,Aeromonas salmonicida subsp. salmonicida,strain=J227,na,latest,Complete Genome,Major,Full,2022-12-15,ASM164335v2,Universidad Mayor,GCF_001643355.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/643/355/GCA_001643355.2_ASM164335v2,na,na,na,haploid,bacteria,4894354,4894354,58.500000,5,5,5,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2022-06-06,4662,4307,145,na
GCA_001901965.1,PRJNA264317,SAMN05728464,MIIN00000000.1,na,29491,645,Aeromonas salmonicida subsp. salmonicida,strain=170-68,na,latest,Contig,Major,Full,2016-12-13,ASM190196v1,Universite Laval,GCF_001901965.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/901/965/GCA_001901965.1_ASM190196v1,na,na,na,haploid,bacteria,4823596,4823596,58.500000,0,115,115,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2016-09-19,4550,4161,131,na
GCA_001901975.1,PRJNA264317,SAMN05728463,MIIM00000000.1,na,29491,645,Aeromonas salmonicida subsp. salmonicida,strain=01-B522,na,latest,Contig,Major,Full,2016-12-13,ASM190197v1,Universite Laval,GCF_001901975.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/901/975/GCA_001901975.1_ASM190197v1,na,na,na,haploid,bacteria,5167036,5167036,58.000000,0,233,233,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2016-09-19,4954,4376,141,na
GCA_001901985.1,PRJNA264317,SAMN05728465,MIIO00000000.1,na,29491,645,Aeromonas salmonicida subsp. salmonicida,strain=JF2267,na,latest,Contig,Major,Full,2016-12-13,ASM190198v1,Universite Laval,GCF_001901985.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/901/985/GCA_001901985.1_ASM190198v1,many frameshifted proteins,na,na,haploid,bacteria,5055714,5055714,58.000000,0,211,211,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2016-09-19,4735,4232,127,na
GCA_001902025.1,PRJNA264317,SAMN05728466,MIIP00000000.1,na,29491,645,Aeromonas salmonicida subsp. salmonicida,strain=m23067-09,na,latest,Contig,Major,Full,2016-12-13,ASM190202v1,Universite Laval,GCF_001902025.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/902/025/GCA_001902025.1_ASM190202v1,many frameshifted proteins,na,na,haploid,bacteria,4915126,4915126,58.500000,0,215,215,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2016-09-19,4713,4112,151,na
GCA_001902045.1,PRJNA264317,SAMN05728467,MIIQ00000000.1,na,29491,645,Aeromonas salmonicida subsp. salmonicida,strain=2009-157 K5,na,latest,Contig,Major,Full,2016-12-13,ASM190204v1,Universite Laval,GCF_001902045.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/902/045/GCA_001902045.1_ASM190204v1,na,na,na,haploid,bacteria,4867561,4867561,58.500000,0,112,112,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2016-09-19,4614,4218,139,na
GCA_001902055.1,PRJNA264317,SAMN05728468,MIIR00000000.1,na,29491,645,Aeromonas salmonicida subsp. salmonicida,strain=2010-47 K18,na,latest,Contig,Major,Full,2016-12-13,ASM190205v1,Universite Laval,GCF_001902055.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/902/055/GCA_001902055.1_ASM190205v1,na,na,na,haploid,bacteria,4895630,4895630,58.500000,0,116,116,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2016-09-19,4641,4238,132,na
GCA_001902065.1,PRJNA264317,SAMN05728470,MIIS00000000.1,na,29491,645,Aeromonas salmonicida subsp. salmonicida,strain=JF2506,na,latest,Contig,Major,Full,2016-12-13,ASM190206v1,Universite Laval,GCF_001902065.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/902/065/GCA_001902065.1_ASM190206v1,na,na,na,haploid,bacteria,4776145,4776145,58.500000,0,117,117,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2016-09-19,4484,4097,126,na
GCA_001902105.1,PRJNA264317,SAMN05728471,MIIT00000000.1,na,29491,645,Aeromonas salmonicida subsp. salmonicida,strain=JF2507,na,latest,Contig,Major,Full,2016-12-13,ASM190210v1,Universite Laval,GCF_001902105.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/902/105/GCA_001902105.1_ASM190210v1,na,na,na,haploid,bacteria,4773773,4773773,58.500000,0,109,109,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2016-09-19,4493,4107,132,na
GCA_001902125.1,PRJNA264317,SAMN05728472,MIIU00000000.1,na,29491,645,Aeromonas salmonicida subsp. salmonicida,strain=JF3517,na,latest,Contig,Major,Full,2016-12-13,ASM190212v1,Universite Laval,GCF_001902125.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/902/125/GCA_001902125.1_ASM190212v1,na,na,na,haploid,bacteria,4935136,4935136,58.500000,0,132,132,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2016-09-19,4663,4244,132,na
GCA_001902165.1,PRJNA264317,SAMN04226662,LMTK00000000.1,na,29491,645,Aeromonas salmonicida subsp. salmonicida,strain=09-0167,na,latest,Contig,Major,Full,2016-12-13,ASM190216v1,Universite Laval,GCF_001902165.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/902/165/GCA_001902165.1_ASM190216v1,na,na,na,haploid,bacteria,4892975,4892975,58.500000,0,206,206,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2015-10-30,4667,4141,141,na
GCA_002110585.1,PRJNA264317,SAMN03421178,LAIS00000000.1,na,29491,645,Aeromonas salmonicida subsp. salmonicida,strain=M15879-11,na,latest,Contig,Major,Full,2017-04-26,ASM211058v1,Universite Laval,GCF_002110585.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/110/585/GCA_002110585.1_ASM211058v1,annotation fails completeness check; many frameshifted proteins,na,na,haploid,bacteria,5034660,5034660,58.000000,0,916,916,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2015-03-24,5271,4553,119,27752114
GCA_002811185.1,PRJNA264317,SAMN04219606,LMTT00000000.1,na,29491,645,Aeromonas salmonicida subsp. salmonicida,strain=M22710-11,na,latest,Contig,Major,Full,2017-12-05,ASM281118v1,Universite Laval,GCF_002811185.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/811/185/GCA_002811185.1_ASM281118v1,na,na,na,haploid,bacteria,4859132,4859132,58.500000,0,116,116,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2015-10-30,4596,4202,138,na
GCA_004151085.1,PRJNA264317,SAMN04272881,LNGB00000000.1,na,29491,645,Aeromonas salmonicida subsp. salmonicida,strain=m11743-09,na,latest,Contig,Major,Full,2019-02-08,ASM415108v1,Universite Laval,GCF_004151085.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/151/085/GCA_004151085.1_ASM415108v1,na,na,na,haploid,bacteria,4861715,4861715,58.500000,0,119,119,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2015-11-17,4602,4203,133,na
GCA_005476635.1,PRJNA264317,SAMN03421189,LAIT00000000.1,na,29491,645,Aeromonas salmonicida subsp. salmonicida,strain=M16474-11,na,latest,Contig,Major,Full,2019-05-17,ASM547663v1,Universite Laval,GCF_005476635.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/476/635/GCA_005476635.1_ASM547663v1,na,na,na,haploid,bacteria,4956552,4956552,58.500000,0,115,115,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2015-03-24,4701,4345,130,na
GCA_008370735.1,PRJNA264317,SAMN11172869,na,na,29491,645,Aeromonas salmonicida subsp. salmonicida,strain=SHY16-3432,na,latest,Complete Genome,Major,Full,2019-09-12,ASM837073v1,Universite Laval,GCF_008370735.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/370/735/GCA_008370735.1_ASM837073v1,na,na,na,haploid,bacteria,5008222,5008222,58.500000,4,4,4,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2019-03-21,4805,4372,142,31299566
GCA_009858115.1,PRJNA594426,SAMN13518349,na,na,29491,645,Aeromonas salmonicida subsp. salmonicida,strain=J409,na,latest,Complete Genome,Major,Full,2020-01-13,ASM985811v1,Memorial University of Newfoundland,GCF_009858115.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/858/115/GCA_009858115.1_ASM985811v1,na,na,na,haploid,bacteria,4732829,4732829,58.500000,2,2,2,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2020-01-07,4532,3948,151,na
GCA_009858135.1,PRJNA594426,SAMN13518350,na,na,29491,645,Aeromonas salmonicida subsp. salmonicida,strain=J410,na,latest,Complete Genome,Major,Full,2020-01-13,ASM985813v1,Memorial University of Newfoundland,GCF_009858135.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/858/135/GCA_009858135.1_ASM985813v1,na,na,na,haploid,bacteria,4690150,4690150,58.500000,2,2,2,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2020-01-07,4546,3985,151,na
GCA_012933685.1,PRJNA594426,SAMN13518351,na,na,29491,645,Aeromonas salmonicida subsp. salmonicida,strain=J411,na,latest,Complete Genome,Major,Full,2020-04-30,ASM1293368v1,Memorial University of Newfoundland,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/933/685/GCA_012933685.1_ASM1293368v1,annotation fails completeness check; many frameshifted proteins,na,na,haploid,bacteria,4715172,4715172,58.500000,2,2,2,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2020-03-24,4586,3456,156,na
GCA_016811055.1,PRJNA264317,SAMN17709026,JAFBAV000000000.1,na,29491,645,Aeromonas salmonicida subsp. salmonicida,strain=2004-072,na,latest,Contig,Major,Full,2021-02-06,ASM1681105v1,Universite Laval,GCF_016811055.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/811/055/GCA_016811055.1_ASM1681105v1,na,na,na,haploid,bacteria,4751504,4751504,58.500000,0,117,117,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2021-02-01,4509,4207,90,na
GCA_016918885.1,PRJNA264317,SAMN16663060,JADKRF000000000.1,na,29491,645,Aeromonas salmonicida subsp. salmonicida,strain=BBCC2887,na,latest,Contig,Major,Full,2021-02-22,ASM1691888v1,Universite Laval,GCF_016918885.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/918/885/GCA_016918885.1_ASM1691888v1,na,na,na,haploid,bacteria,4764100,4764100,58.500000,0,116,116,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2020-11-05,4633,4243,137,33605980
GCA_020683025.1,PRJNA773379,SAMN22480857,na,na,29491,645,Aeromonas salmonicida subsp. salmonicida,strain=890054,na,latest,Complete Genome,Major,Full,2021-10-31,ASM2068302v1,Universite Laval,GCF_020683025.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/683/025/GCA_020683025.1_ASM2068302v1,na,na,na,haploid,bacteria,5044668,5044668,58.500000,9,9,9,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2021-10-25,4852,4490,144,na
GCA_023108375.1,PRJNA698804,SAMN27544343,JALKVL000000000.1,na,29491,645,Aeromonas salmonicida subsp. salmonicida,strain=VI-88/09/03175,na,latest,Contig,Major,Full,2022-04-25,ASM2310837v1,University of Gothenburg,GCF_023108375.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/108/375/GCA_023108375.1_ASM2310837v1,na,na,na,haploid,bacteria,4738132,4738132,58.500000,0,123,123,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2022-04-14,4533,4238,107,35457143
GCA_027947655.1,PRJNA310296,SAMN32781197,na,na,29491,645,Aeromonas salmonicida subsp. salmonicida,strain=J225,na,latest,Complete Genome,Major,Full,2023-01-25,ASM2794765v1,Universidad Mayor,GCF_027947655.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/027/947/655/GCA_027947655.1_ASM2794765v1,na,na,na,haploid,bacteria,4886316,4886316,58.500000,5,5,5,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2023-01-19,4671,4325,145,na
GCA_027947675.1,PRJNA310296,SAMN32781198,na,na,29491,645,Aeromonas salmonicida subsp. salmonicida,strain=J228,na,latest,Complete Genome,Major,Full,2023-01-25,ASM2794767v1,Universidad Mayor,GCF_027947675.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/027/947/675/GCA_027947675.1_ASM2794767v1,na,na,na,haploid,bacteria,4898098,4898098,58.500000,5,5,5,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2023-01-19,4685,4329,148,na
GCA_032094575.1,PRJNA503849,SAMN37545116,ABNAHE000000000.1,na,29491,645,Aeromonas salmonicida subsp. salmonicida,strain=AQ-22-VL-ON-BC-0002,na,latest,Contig,Major,Full,2023-09-27,PDT001904104.1,Vet-LIRN-CVM-FDA,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/094/575/GCA_032094575.1_PDT001904104.1,from large multi-isolate project,na,na,haploid,bacteria,4457608,4457608,59.000000,0,257,257,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2023-09-27,4234,3962,96,na
GCA_032094615.1,PRJNA503849,SAMN37545115,ABNAHD000000000.1,na,29491,645,Aeromonas salmonicida subsp. salmonicida,strain=AQ-22-VL-ON-BC-0001,na,latest,Contig,Major,Full,2023-09-27,PDT001904105.1,Vet-LIRN-CVM-FDA,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/094/615/GCA_032094615.1_PDT001904105.1,from large multi-isolate project,na,na,haploid,bacteria,4396857,4396857,59.000000,0,252,252,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2023-09-27,4195,3887,111,na
GCA_032094635.1,PRJNA503849,SAMN37545125,ABNAHF000000000.1,na,29491,645,Aeromonas salmonicida subsp. salmonicida,strain=AQ-22-VL-ON-ON-0021,na,latest,Contig,Major,Full,2023-09-27,PDT001904103.1,Vet-LIRN-CVM-FDA,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/094/635/GCA_032094635.1_PDT001904103.1,from large multi-isolate project,na,na,haploid,bacteria,4784221,4784221,58.500000,0,163,163,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2023-09-27,4583,4283,94,na
GCA_032094795.1,PRJNA503849,SAMN37545118,ABNAHJ000000000.1,na,29491,645,Aeromonas salmonicida subsp. salmonicida,strain=AQ-22-VL-ON-BC-0004,na,latest,Contig,Major,Full,2023-09-27,PDT001904098.1,Vet-LIRN-CVM-FDA,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/094/795/GCA_032094795.1_PDT001904098.1,from large multi-isolate project,na,na,haploid,bacteria,4624779,4624779,59.000000,0,105,105,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2023-09-27,4288,4141,101,na
GCA_032094835.1,PRJNA503849,SAMN37545117,ABNAHI000000000.1,na,29491,645,Aeromonas salmonicida subsp. salmonicida,strain=AQ-22-VL-ON-BC-0003,na,latest,Contig,Major,Full,2023-09-27,PDT001904099.1,Vet-LIRN-CVM-FDA,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/094/835/GCA_032094835.1_PDT001904099.1,from large multi-isolate project,na,na,haploid,bacteria,4450645,4450645,59.000000,0,258,258,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2023-09-27,4234,3954,101,na
GCA_032094915.1,PRJNA503849,SAMN37545119,ABNAHL000000000.1,na,29491,645,Aeromonas salmonicida subsp. salmonicida,strain=AQ-22-VL-ON-BC-0005,na,latest,Contig,Major,Full,2023-09-27,PDT001904097.1,Vet-LIRN-CVM-FDA,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/094/915/GCA_032094915.1_PDT001904097.1,from large multi-isolate project,na,na,haploid,bacteria,4542244,4542244,59.000000,0,252,252,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2023-09-27,4322,4017,99,na
GCA_032495985.1,PRJNA503849,SAMN37694214,ABNNNQ000000000.1,na,29491,645,Aeromonas salmonicida subsp. salmonicida,strain=AQ-21-VL-ON-BC-0001,na,latest,Contig,Major,Full,2023-10-11,PDT001920124.1,Vet-LIRN-CVM-FDA,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/495/985/GCA_032495985.1_PDT001920124.1,from large multi-isolate project,na,na,haploid,bacteria,4495068,4495068,59.000000,0,259,259,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2023-10-08,4292,4023,91,na
GCA_032496025.1,PRJNA503849,SAMN37694215,ABNNNR000000000.1,na,29491,645,Aeromonas salmonicida subsp. salmonicida,strain=AQ-21-VL-ON-BC-0003,na,latest,Contig,Major,Full,2023-10-11,PDT001920123.1,Vet-LIRN-CVM-FDA,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/496/025/GCA_032496025.1_PDT001920123.1,from large multi-isolate project,na,na,haploid,bacteria,4497726,4497726,59.000000,0,250,250,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2023-10-08,4288,3974,104,na
